,song,lyrics
10,Essence,[]
11,Kiss Me More,[]
12,Heat Waves,"[('[Intro', ""] (last night, all i think about is you) (don't stop, baby, you can walk through) (don't want,\u2005baby,\u2005think about you) (you\u2005know that i'm never gonna lose) road\u2005shimmer wigglin' the vision heat, heat waves, i'm swimmin' in a mirror road shimmer wigglin' the vision heat, heat waves, i'm swimmin' in a—""), ('[Chorus]', ""sometimes, all i think about is you late nights in the middle of june heat waves been fakin' me out can't make you happier now sometimes, all i think about is you late nights in the middle of june heat waves been fakin' me out can't make you happier now""), ('[Verse 1]', ""usually, i put somethin' on tv so we never think about you and me but today, i see our reflections clearly in hollywood, layin' on the screen you just need a better life than this you need somethin' i can never give fake water all across the road it's gone now, the night has come, but""), ('[Chorus]', ""sometimes, all i think about is you late nights in the middle of june heat waves been fakin' me out can't make you happier now""), ('[Verse 2]', ""you can't fight it, you can't breathe you say somethin' so lovin', but now i gotta let you go you'll be better off in someone new i don't wanna be alone you know it hurts me too you look so broken when you cry one more and then i say goodbye""), ('[Chorus]', ""sometimes, all i think about is you late nights in the middle of june heat waves been fakin' me out can't make you happier now sometimes, all i think about is you late nights in the middle of june heat waves been fakin' me out can't make you happier now""), ('[Bridge]', ""i just wonder what you're dreamin' of when you sleep and smile so comfortable i just wish that i could give you that that look that's perfectly un-sad sometimes, all i think about is you late nights in the middle of june heat waves been fakin' me out heat waves been fakin' me out""), ('[Chorus]', ""sometimes, all i think about is you late nights in the middle of june heat waves been fakin' me out can't make you happier now sometimes, all i think about is you late nights in the middle of june heat waves been fakin' me out can't make you happier now""), ('[Outro]', ""road shimmer wigglin' the vision heat, heat waves, i'm swimmin' in a mirror road shimmer wigglin' the vision heat, heat waves, i'm swimmin' in a mirro"")]"
13,Beggin',"[('[Intro', ""] put your loving hand out, baby 'cause i'm beggin'""), ('[Chorus]', ""i'm beggin', beggin' you so put your loving hand out, baby i'm beggin', beggin' you so put your loving hand out, darlin'""), ('[Verse 1]', ""riding high when i was king i played it hard and fast, 'cause i had everything i walked away, you won me then but easy come and easy go and it would end""), ('[Verse 2]', ""so, anytime i bleed, you let me go yah, anytime i feed, you get me know anytime i seek, you let me know but i planted that seed, just let me grow i'm on my knees when i'm beggin' 'cause i don't wanna lose you hey, yeah, ra-ta-ta-ta!""), ('[Chorus]', ""'cause i'm beggin', beggin' you uh, put your loving hand out, baby i'm beggin', beggin' you, ah and put your loving hand out, darlin'""), ('[Verse 3]', 'i need you to understand tried so hard to be your man the kind of man you want in the end only then can i begin to live again'), ('[Verse 4]', ""an empty shell, i used to be the shadow of my life was hangin' over me a broken man that i don't know won't even stand the devil's dance to win my soul""), ('[Verse 5]', ""what we doin'? what we chasin'? why the bottom? why the basement? why we got good shit, don't embrace it? why the feel for the need to replace me? you're the wrong way track from the good i want to paint a picture tellin' where we could be at like a heart in the best way should you can give it away, you had it and you took the pay but i keep walkin' on, keep openin' doors keep hopin' for, now the door is yours keep also home 'cause i don't want to live in a broken home, girl, i'm beggin'""), ('[Chorus]', ""mmm, yeah-yeah, yeah, i'm beggin', beggin' you so put your loving hand out, baby i'm beggin', beggin' you so put your loving hand out, darlin'""), ('[Bridge]', ""i'm fighting hard to hold my own just can't make it all alone i'm holding on, i can't fall back i'm just a calm, 'bout to  fade to black""), ('[Chorus]', ""i'm beggin', beggin' you put your loving hand out, baby i'm beggin', beggin' you so put your loving hand out, darlin' i'm beggin', beggin' you so put your loving hand out, baby i'm beggin', beggin' you so put your loving hand out, darlin'""), ('[Outro]', ""i'm beggin', beggin' you so put your loving hand out, baby i'm beggin', beggin' you so put your loving hand ou"")]"
14,Cold Heart (PNAU Remix),"[('[Intro', ""] ( oh ) ( oh ) ( you're my cold heart ) ( oh ) ( oh ) [verse: elton john] it's a human sign when things go wrong when the scent of her lingers and temptation's strong""), ('[Pre-Chorus: Elton John]', ""cold, cold heart hardened by you ( oh ) some things lookin' better, baby just passin' through ( no, no, no, no, no )""), ('[Chorus: Dua Lipa  with Elton John ]', ""and i think it's gonna be a long, long time 'til touchdown brings me 'round again to find i'm not the man they think i am at home oh no, no, no and this is what i should have said well, i thought it, but i kept it hid""), ('[Pre-Chorus: Elton John]', ""cold, cold heart hardened by you ( oh ) some things lookin' better, baby just passin' through ( no, no, no, no, no )""), ('[Chorus: Dua Lipa  with Elton John ]', ""and i think it's gonna be a long, long time 'til touchdown brings me 'round again to find i'm not the man they think i am at home oh no, no, no ( no, no, no, no, no ) and this is what i should have said well, i thought it, but i kept it hid""), ('[Pre-Chorus: Elton John]', ""cold, cold heart ( oh ) hardened by you some things lookin' better, baby ( oh ) just passin' through ( no, no, no, no, no )""), ('[Chorus: Dua Lipa]', ""and i think it's gonna be a long, long time 'til touchdown brings me 'round again to find i'm not the man they think i am at home oh no, no, no ( no, no, no, no, no ) and this is what i should have said ( and i think it's gonna be a long, long time ) ( 'til touchdown brings me 'round again to find ) well, i thought it, but i kept it hid ( i'm not the man they think i am at home ) ( oh, no, no, no ) ( no, no, no, no, no )""), ('[Outro]', 'shoorah  ( oh ) shoorah shoorah  ( oh ) shoorah ( no, no, no, no, no')]"
15,You Right,[]
16,Save Your Tears,[]
17,If I Didn't Love You,"[('[Verse 1: Jason Aldean]', ""i wouldn't mind bein' alone i wouldn't keep checkin' my phone wouldn't take the long way home just to drive myself crazy i wouldn't be losin' sleep rememberin' everything everything you said to me like i'm doin' lately""), ('[Pre-Chorus: Jason Aldean]', ""you, you wouldn't be all all that i want baby, i could let go""), ('[Chorus: Jason Aldean & Carrie Underwood]', ""if i didn't love you i'd be good by now i'd be better than barely gettin' by somehow yeah, it would be easy not to miss you wonder about who's with you turn the want you off whenever i want to if i didn't love you if i didn't love you""), ('[Verse 2: Carrie Underwood &  Jason Aldean ]', ""i wouldn't still cry sometimes wouldn't have to fake a smile play it off and tell a lie when somebody asked how i've been i'd try to find someone new ( someone new ) it should be somethin' i can do ( i can do ) baby, if it weren't for you i wouldn't be in the state that i'm in""), ('[Pre-Chorus: Jason Aldean & Carrie Underwood]', ""yeah, you you wouldn't be all all that i want baby, i could let go""), ('[Chorus: Jason Aldean & Carrie Underwood,  Carrie Underwood ]', ""if i didn't love you i'd be good by now i'd be better than barely gettin' by somehow yeah, it would be easy not to miss you wonder about who's with you turn the want you off whenever i want to if i didn't love you if i didn't love you ( oh, if i didn't love you )""), ('[Bridge: Jason Aldean & Carrie Underwood,  Carrie Underwood ]', ""it wouldn't be so hard to see you know how much i need you wouldn't hate that i still feel like i do if i didn't love you ( oh, if i didn't love you ) if i didn't love you ( hmm, mm-hmm )""), ('[Chorus: Carrie Underwood &  Carrie Underwood & Jason Aldean ]', ""if i didn't love you i'd be good by now i'd be better than barely gettin' by somehow yeah, it would be easy not to miss you wonder about who's with you turn the want you off whenever i want to if i didn't love you  (yeah) if i didn't love you  (oh, if i didn't love you) if i didn't love you (if i didn't love you) if i didn't love yo"")]"
18,Traitor,"[('[Intro', '] ooh-ooh-ooh ah-ah-ah-ah-ah'), ('[Verse 1]', 'brown guilty eyes and little white lies, yeah i played dumb, but i always knew that you talked to her, maybe did even worse i kept quiet so i could keep you'), ('[Pre-Chorus]', ""and ain't it funny how you ran to her the second that we called it quits? and ain't it funny how you said you were friends? now it sure as hell don't look like it""), ('[Chorus]', ""you betrayed me and i know that you'll never feel sorry for the way i hurt, yeah you talked to her when we were together loved you at your worst, but that didn't matter it took you two weeks to go off and date her guess you didn't cheat, but you're still a traitor""), ('[Verse 2]', ""now you bring her around just to shut me down show her off like she's a new trophy and i know if you were true, there's no damn way that you could fall in love with somebody that quickly""), ('[Pre-Chorus]', ""and ain't it funny? all the twisted games all the questions you used to avoid ain't it funny? remember i brought her up and you told me i was paranoid?""), ('[Chorus]', ""you betrayed me and i know that you'll never feel sorry for the way i hurt, yeah you talked to her when we were together loved you at your worst, but that didn't matter it took you two weeks to go off and date her guess you didn't cheat, but you're still a traitor""), ('[Bridge]', ""(ah-ah-ah) god, i wish that you had thought this through before i went and fell in love with you (ah-ah-ah) when she's sleepin' in the bed we made don't you dare forget about the way""), ('[Chorus]', ""you betrayed me 'cause i know that you'll never feel sorry for the way i hurt, yeah you talked to her when we were together you gave me your word, but that didn't matter it took you two weeks to go off and date her guess you didn't cheat, but you're still, you're still a traitor (ah-ah-ah) yeah, you're still a traitor""), ('[Outro]', 'ooh-ooh-ooh god, i wish that you had thought this through before i went and fell in love with yo')]"
19,My Universe,"[('[Intro', ': chris martin,  all ] you ( you ), you are ( you are ) my universe and i ( i ) just want ( just want ) to put you first and you ( you ), you are ( you are ) my universe, and i'), ('[Verse 1: Chris Martin]', ""in the night, i lie and look up at you when the morning comes, i watch you rise there's a paradise they couldn't capture that bright infinity inside your eyes""), ('[Pre-Chorus: Jung Kook,  All ,  Jung Kook & Chris Martin ]', '매일 밤 네게 날아가 ( 가 ) 꿈이란 것도 잊은 채 나 웃으며 너를 만나 ( 나 ) never-ending forever, baby'), ('[Chorus: Chris Martin,  All ]', 'you ( you ), you are ( you are ) my universe and i ( i ) just want ( just want ) to put you first and you ( you ), you are ( you are ) my universe and you make my world light up inside'), ('[Verse 2: V,  RM ,  RM & Chris Martin ,  RM & Jimin ]', ""어둠이 내겐 더 편했었지 길어진 그림자 속에서 ( eyes ) and they said that we can't be togethеr because ,  becausе we come from different sides""), ('[Chorus: Chris Martin,  All ]', 'you ( you ), you are ( you are ) my universe and i ( i ) just want ( just want ) to put you first and you ( you ), you are ( you are ) my universe and you make my world light up inside'), ('[Post-Chorus: All,  Jin ]', 'my universe (do-do, do-do) my universe (do-do, do-do) my universe (do-do, do-do) (you make my world) you make my world light up inside make my world light up inside'), ('[Bridge: j-hope,  SUGA ]', '나를 밝혀주는 건 너란 사랑으로 수 놓아진 별 내 우주의 넌 또 다른 세상을 만들어 주는 걸 너는 내 별이자 나의 우주니까 지금 이 시련도 결국엔 잠시니까 너는 언제까지나 지금처럼 밝게만 빛나줘 우리는 너를 따라 이 긴 밤을 수놓을 거야'), ('[Pre-Chorus: Jung Kook,  Jung Kook & Jimin ,  Chris Martin & Jung Kook ]', ""너와 함께 날아가 when i'm without you, i'm crazy 자  어서 내 손을 잡아 we are made of each other, baby""), ('[Chorus: Chris Martin,  All ]', 'you ( you ), you are ( you are ) my universe and i ( i ) just want ( just want ) to put you first ( to put you first ) and you ( you ), you are ( you are ) my universe and you make my world light up inside'), ('[Post-Chorus: All]', 'my universe (do-do, do-do) you, you are (you are) my universe (do-do, do-do) i just want (just want) my universe you, you are (you are) my universe, and i my universe'), ('[Outro: All]', '(ayy, ayy, ayy, ayy, ayy')]"
20,Who Want Smoke??,[]
21,Knife Talk,"[('[Intro', "": drake] [drake set] green day - wake me up when september ends drake ft. kendrick lamar - buried alive interlude 21 lil harold - savage yeat - get busy dr. bushman - peel baby dooney macintosh - shorties kyrienumba11 - them days kwan4x - wtf feat. kyrienumba11 & baby 9yne shawny binladen - get back or sit back drake - whats next drake ft. baby keem - whats next og (new unreleased) playboi carti ft. drake - carnage (new unreleased) drake ft. rick ross & lil wayne - only live twice travis scott - stop trying to bе god kanye ft. andre 3000 - life of thе party (new unreleased) - drake diss track lol drake - 7am on bridle path - kanye diss track lol drake - no friends in the industry drake ft. project pat & 21 savage - knife talk giveon (maybe????) - i really nedd (new unreleased) tems - free mind drake ft. rema - mention me (new unreleased) charlotte day wilson - mountains (fair trade sample) bryson tiller - finesse remix tone smith - mediba ridium remix (new unreleased) tamia - into you the internet - hold on beyonce - me myself and i (slowed) isley brothers - how lucky i am pts. 1 & 2 [friyiy set] drake - fancy drake ft. rick ross & lil wayne- only live twice drake - 7am on bridle path drake ft. jay-z - all love drake - race my mind drake ft lil baby - girls want girls drake ft future & young thug - way 2 sexy drake ft project pat & 21 savage - knife talk drake ft lil durk & giveon - love the lifestyle mark and noel do shots drake - papi's home drake - tsu drake ft future - n 2 deep drake - no friends in the industry drake ft kid cudi - imy2 drake - pipe down drake ft tems - fountains drake ft ty dolla $ign - get along better drake ft travis scott - fair trade drake - champagne poetry drake - fucking fans drake - the remorse drake ft yebba - yebba's heartbrea"")]"
22,Meet Me At Our Spot,"[('[Verse 1: WILLOW]', ""when i wake up i can't even stay up i slept through the day, fuck i'm not getting\u2005younger but\u2005when i'm older i'll\u2005be so much stronger i'll stay up\u2005for longer meet me at our spot""), ('[Chorus: WILLOW]', 'caught a vibe (woo, woo) baby,\u205fare\u205fyou\u205fcoming for the\u205fride? (the ride,\u205fthe ride, the ride) i just wanna look into your eyes (your eyes, your eyes) i just wanna stay for the night, night, night when we take a drive (woo, woo) maybe we can hit the 405 hypnotized by the lights man, this must be the life'), ('[Verse 2: Tyler Cole &  WILLOW ]', ""when i go to sleep i can't even fall asleep something's got ahold of me feel it taking over me but when i'm older i'll be moving onward i just got a drunk text ( meet me at our spot )""), ('[Chorus: WILLOW &  Tyler Cole ]', 'we caught a vibe ( yeah, yeah ) baby, are you coming for the ride? ( the ride, the ride, the ride ) when i look into your eyes ( your eyes, your eyes ) i just wanna hold you all night ( all night ) maybe we can take a drive ( take a drive ) baby,  we can hit the 405 hypnotized by the lights man, this must be the life'), ('[Bridge: WILLOW &  Tyler Cole ]', ""meet me at our spot got something i wanna show you meet me at our spot they can't find us there meet me at our spot got something i wanna show you meet me at our spot they can't find us there""), ('[Chorus: WILLOW &  Tyler Cole ]', 'caught a vibe (woo, woo) baby, are you coming for the ride? ( the ride, the ride, the ride ) i just wanna look into your eyes ( into your eyes ) i just wanna stay for the night, night, night when we take a drive (woo, woo) maybe we can hit the 405 hypnotized by the lights man, this must be the lif')]"
23,Montero (Call Me By Your Name),"[('[Verse 1]', ""i caught it bad yesterday you hit me with a call to your place ain't been out\u2005in\u2005a while anyway was\u2005hopin' i could catch you throwin'\u2005smiles in my face romantic talkin'? you don't even have to try you're cute enough to fuck with me tonight lookin' at the table, all i see is weed and white baby, you livin' the life, but nigga, you ain't livin' right""), ('[Pre-Chorus]', ""cocaine and drinkin' with your friends you live in the dark, boy, i cannot pretend i'm not fazed, only here to sin if eve ain't in your garden, you know that you can""), ('[Chorus]', ""call me when you want, call me when you need call me in the morning, i'll be on the way call me when you want, call me when you need call me out by your name, i'll be on the way like""), ('[Post-Chorus]', 'mmm, mmm, mmm mmm, mmm, mmm'), ('[Verse 2]', ""ayy, ayy i wanna sell what you're buyin' i wanna feel on your ass in hawaii i want that jet lag from fuckin' and flyin' shoot a child in your mouth while i'm ridin' oh, oh, oh, why me? a sign of the times every time that i speak a dime and a nine, it was mine every week what a time, an incline, god was shinin' on me now i can't leave and now i'm actin' hella elite never want the niggas that's in my league i wanna fuck the ones i envy, i envy""), ('[Pre-Chorus]', ""cocaine and drinkin' with your friends you live in the dark, boy, i cannot pretend i'm not fazed, only here to sin if eve ain't in your garden, you know that you can""), ('[Chorus]', ""call me when you want, call me when you need call me in the morning, i'll be on the way call me when you want, call me when you need call me out by your name, i'll be on the way like""), ('[Post-Chorus]', ""oh, call me by your name (mmm, mmm, mmm) tell me you love me in private call me by your name (mmm, mmm, mmm) i do not care if you're lyin"")]"
24,Chasing After You,"[('[Verse 1: Ryan Hurd]', ""you come over when your wine's all gone always catch me when i'm not that strong then you wind up staying all night long ain't nothin' new then i wake up with you on my chest you got a way of making me forget girl, with you the answer's always yes every time you call""), ('[Chorus: Ryan Hurd & Maren Morris]', ""but i know, yeah i know it's a matter of time 'till you walk, 'till you walk back out of my life leave me standing here lonely feeling like a fool every time, every time you say we're done you come back to the love you werе running from don't know why, don't know why i let you but i do guess i love chasing aftеr you""), ('[Verse 2: Maren Morris]', ""listen wish i could quit you but it feels too good if i could turn it off, you know i would but somethin' 'bout you makes me think we could make it after all""), ('[Chorus: Ryan Hurd & Maren Morris]', ""but i know, yeah i know it's a matter of time 'till you walk, 'till you walk back out of my life leave me standing here lonely feeling like a fool every time, every time you say we're done you come back to the love you were running from don't know why, don't know why i let you but i do guess i love chasing after you""), ('[Bridge: Ryan Hurd]', ""you come over when your wine's all gone always catch me when i'm not that strong then you wind up staying all night long ain't nothin' new""), ('[Chorus: Ryan Hurd & Maren Morris]', ""but i know, yeah i know it's a matter of time 'till you walk, 'till you walk back out of my life leave me standing here lonely feeling like a fool yeah, every time, every time you say we're done you come back to the love you were running from don't know why, don't know why i let you but i do guess i love chasing after you i love chasing after yo"")]"
25,Girls Want Girls,"[('[Intro', "": drake] [drake set] green day - wake me up when september ends drake ft. kendrick lamar - buried alive interlude 21 lil harold - savage yeat - get busy dr. bushman - peel baby dooney macintosh - shorties kyrienumba11 - them days kwan4x - wtf feat. kyrienumba11 & baby 9yne shawny binladen - get back or sit back drake - whats next drake ft. baby keem - whats next og (new unreleased) playboi carti ft. drake - carnage (new unreleased) drake ft. rick ross & lil wayne - only live twice travis scott - stop trying to bе god kanye ft. andre 3000 - life of thе party (new unreleased) - drake diss track lol drake - 7am on bridle path - kanye diss track lol drake - no friends in the industry drake ft. project pat & 21 savage - knife talk giveon (maybe????) - i really nedd (new unreleased) tems - free mind drake ft. rema - mention me (new unreleased) charlotte day wilson - mountains (fair trade sample) bryson tiller - finesse remix tone smith - mediba ridium remix (new unreleased) tamia - into you the internet - hold on beyonce - me myself and i (slowed) isley brothers - how lucky i am pts. 1 & 2 [friyiy set] drake - fancy drake ft. rick ross & lil wayne- only live twice drake - 7am on bridle path drake ft. jay-z - all love drake - race my mind drake ft lil baby - girls want girls drake ft future & young thug - way 2 sexy drake ft project pat & 21 savage - knife talk drake ft lil durk & giveon - love the lifestyle mark and noel do shots drake - papi's home drake - tsu drake ft future - n 2 deep drake - no friends in the industry drake ft kid cudi - imy2 drake - pipe down drake ft tems - fountains drake ft ty dolla $ign - get along better drake ft travis scott - fair trade drake - champagne poetry drake - fucking fans drake - the remorse drake ft yebba - yebba's heartbrea"")]"
